Designator,Mid X,Mid Y,Rotation,Layer
C13,164.5411,-99.9186,90.0,top
RN5,142.9511,-128.4936,-90.0,top
IC3,148.7236,-98.7361,-90.0,top
RN6,142.875,-124.0486,-90.0,top
L2,164.8586,-104.3636,0.0,top
JP1,148.0311,-75.1536,0.0,top
C5,132.1561,-101.8236,-90.0,top
RN7,162.0011,-82.1386,90.0,top
L3,138.7111,-98.9236,90.0,top
R10,172.3236,-97.0361,-90.0,top
C32,154.3811,-99.9186,90.0,top
C7,166.878,-79.502,90.0,top
R26,172.7961,-84.0436,180.0,top
C10,144.8561,-108.1736,180.0,top
C39,159.6936,-90.5536,-90.0,top
R5,127.1786,-112.9486,90.0,top
R24,172.1611,-79.5986,-90.0,top
C18,162.6361,-116.4286,180.0,top
RN2,168.3511,-128.4936,-90.0,top
C19,148.6661,-116.4286,0.0,top
C26,164.8586,-106.9036,180.0,top
C33,151.2061,-92.2986,90.0,top
R27,131.36235,-89.1236,-90.0,top
C40,157.5561,-85.3136,180.0,top
C25,136.9186,-83.4086,0.0,top
C9,144.8561,-110.0786,180.0,top
C42,135.2336,-94.2561,180.0,top
C46,148.0311,-83.4086,0.0,top
C20,159.4611,-99.9186,-90.0,top
R12,136.9186,-81.1861,0.0,top
L1,128.7411,-102.0111,90.0,top
RN1,160.528,-128.4936,-90.0,top
R14,160.7311,-78.9636,180.0,top
R7,165.862,-82.1386,180.0,top
C21,149.9261,-103.0936,-90.0,top
C36,149.3011,-92.2986,90.0,top
C28,148.6661,-125.3186,180.0,top
C2,132.4736,-115.7936,0.0,top
JP2,148.0311,-133.5736,0.0,top
IC5,152.8186,-84.1636,-90.0,top
R13,164.5411,-91.6636,90.0,top
IC4,155.6511,-110.7136,180.0,top
C22,171.8161,-111.9861,0.0,top
IC6,135.0586,-89.4586,90.0,top
R20,154.3811,-126.5886,-90.0,top
RN8,149.9361,-128.4936,-90.0,top
C27,151.8411,-125.3186,0.0,top
C44,168.9861,-82.1386,180.0,top
R9,174.7011,-92.2986,90.0,top
J1,170.3386,-118.9136,-90.0,top
C17,165.1761,-121.5086,-90.0,top
C8,174.7011,-89.1236,90.0,top
R15,141.6811,-92.2986,-90.0,top
R4,124.3661,-107.6361,-90.0,top
C1,127.8036,-106.3861,0.0,top
R11,156.9211,-78.9636,0.0,top
D2,133.4461,-105.7336,0.0,top
R23,169.6211,-79.5986,-90.0,top
C4,142.2561,-120.2386,180.0,top
R22,148.0311,-81.5036,0.0,top
C12,157.5561,-99.9186,90.0,top
PWR0,143.5836,-99.0686,90.0,top
C14,138.1886,-123.7311,90.0,top
C35,145.4911,-92.2986,-90.0,top
R1,141.0486,-99.1161,90.0,top
C38,157.5561,-83.4086,0.0,top
C24,164.5411,-87.8536,90.0,top
C16,129.54,-121.412,0.0,top
C30,152.4761,-99.9186,90.0,top
C45,172.7961,-82.1386,0.0,top
C43,148.0311,-86.5836,0.0,top
RN3,135.3311,-128.4936,90.0,top
R8,149.9361,-122.5246,0.0,top
R25,168.9861,-84.0436,0.0,top
C15,130.2511,-124.0486,180.0,top
C29,164.8586,-108.8086,0.0,top
IC2,169.6211,-90.3936,180.0,top
C23,171.8886,-115.7011,0.0,top
R2,130.9286,-112.9486,0.0,top
RN4,135.3311,-124.0486,90.0,top
R21,153.7461,-129.1286,180.0,top
R6,156.9211,-129.1286,0.0,top
R16,143.5861,-92.2986,90.0,top
R3,165.8111,-84.0436,0.0,top
C31,155.0161,-92.2986,-90.0,top
C6,134.6961,-101.8236,-90.0,top
R19,157.5561,-81.5036,180.0,top
C34,139.7761,-92.2986,90.0,top
ALIVE0,152.5436,-121.4061,-90.0,top
R18,153.1111,-92.2986,90.0,top
IC1,139.7761,-103.0936,-90.0,top
C41,153.4921,-89.7586,0.0,top
IC7,128.7411,-109.5111,0.0,top
Q1,168.2861,-113.6886,-90.0,top
R17,147.3961,-92.2986,-90.0,top
C3,133.8886,-109.6536,0.0,top
D1,127.3911,-118.2661,-90.0,top
C11,144.8561,-105.6336,180.0,top
C37,170.5736,-107.8561,0.0,top
